age,gender,country,level_education,job,programming_experience,programming_languages,programming_language_learning_first,computing_platform,used_TPU,used_ml_methods,primary_tool_analyze_data,salary
18-21,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
18-21,Man,United States of America,Bachelor’s degree,Data Scientist,1-3 years,Python,Julia,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Brazil,Bachelor’s degree,Data Scientist,< 1 years,Python,R,A personal computer / desktop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","1,000-1,999"
18-21,Man,Germany,I prefer not to answer,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
18-21,Woman,Other,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",">$1,000,000"
18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","5,000-7,499"
18-21,Man,Germany,I prefer not to answer,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","7,500-9,999"
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Russia,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","3,000-3,999"
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,C,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Other,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,C,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,Python,C++,A laptop,2-5 times,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,None,6-25 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
18-21,Woman,Other,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,C,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,Other,"3,000-3,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Ukraine,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
18-21,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Woman,Kenya,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Woman,Pakistan,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,None,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","90,000-99,999"
18-21,Man,Italy,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,More than 25 times,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","7,500-9,999"
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,6-25 times,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","7,500-9,999"
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Ukraine,Bachelor’s degree,Data Scientist,1-3 years,Python,C,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","300,000-499,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,SQL,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","3,000-3,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",">$1,000,000"
18-21,Man,Argentina,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","1,000-1,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","7,500-9,999"
18-21,Man,Peru,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,Other,$0-999
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","$500,000-999,999"
18-21,Man,France,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
