 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:Jan/2008-Nov/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"33 Rio de Janeiro";519987783,20;617474419,94;668249294,60;684603494,29;689807509,04;718419831,03;765976172,49;814738275,82;790282302,29;853543221,39;918095799,51;976876703,73;1032894622,93;1297053364,21;11348002794,47
"35 São Paulo";2039524331,41;2544642933,21;2728176826,60;2888084692,86;2928498621,81;3137331779,16;3268008800,52;3285221792,79;3305056173,67;3361179945,39;3442007311,77;3567637040,10;3806208857,72;4712521694,38;45014100801,39
"41 Paraná";658920785,18;791002497,01;855480910,05;918922472,81;951800112,02;1020930795,65;1063177083,80;1116764284,11;1224621412,80;1333212214,45;1453914663,28;1493484390,79;1406028330,20;1731892994,63;16020152946,78
"42 Santa Catarina";332747333,49;422107491,92;444376400,13;482941267,30;507951182,58;573083638,11;626008038,37;649716373,14;663853492,72;676676323,29;711391945,08;759243377,08;758021988,83;999185481,54;8607304333,58
"43 Rio Grande do Sul";631500295,49;757636446,53;794705313,89;807062262,56;846224368,71;970603274,07;1025980732,27;1076735540,93;1046635638,70;1053347905,55;1074036199,48;1131618227,23;1186666108,70;1443008010,58;13845760324,69
"50 Mato Grosso do Sul";107780107,42;134933491,09;145562194,66;149057896,87;152577852,42;168376595,75;174087791,31;186415626,22;190977047,16;194544177,74;201939866,02;218562922,14;227384589,28;314038476,05;2566238634,13
"51 Mato Grosso";104322027,09;134879528,76;144501072,57;141447394,72;149618209,33;156755385,20;164696707,99;173915288,36;181948081,80;185882129,14;190680812,60;189645101,04;205331624,93;313389535,89;2437012899,42
"52 Goiás";241210304,82;287960230,30;302067940,05;329396993,24;336047814,62;378866106,13;400943736,86;420280242,13;410610981,83;414555691,08;407220316,61;438382657,52;471891376,35;631107577,37;5470541968,91
"53 Distrito Federal";139427127,24;165355244,61;165987601,30;170698048,11;179378869,77;186859044,16;184904125,57;177523900,39;200638650,79;205151092,15;233115326,12;239866880,34;265391022,65;315514571,29;2829811504,49
"Total";8286055941,30;10124918629,27;10740754368,48;11308412465,19;11656121321,77;12698359917,70;13370407625,66;13787982841,84;14001103477,94;14518578158,32;15106388207,06;15816050492,89;16255527564,89;20279395541,73;187950056554,04
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
